city,state,year_created,member_selection,independent_investigation,subpoena_power,independent_discipline,recommend_discipline,funding_structure,public_meetings,city_std,state_clean,has_sunset,voluntary_cooperation,mandatory_cooperation,has_budget_language,has_union_exclusion,text_length,filename,authority_level,board_weakness_index,board_weakness_index_broad,authority_score,year_num,decade
Dallas city,TX,1987,"Appointed (Mayor, confirmed by Council)",Y,Y,N,Y,City-funded,Y (implied),dallas,TX,False,True,True,True,False,37817.0,Dallas_city_TX.pdf,investigative,1,-1,1,1987.0,1980
Denver city,CO,2004,Elected,N,N,N,Y,City-funded,Y,denver,CO,False,True,False,True,False,35055.0,Denver_city_CO.pdf,review_only,1,0,0,2004.0,2000
Detroit city,MI,1974,Elected,Y,Y,Y,Not specified,Volunteer/Unfunded,Y,detroit,MI,False,False,False,False,False,11087.0,Detroit_city_MI.pdf,disciplinary,0,-1,2,1974.0,1970
Durham city,NC,2003,Appointed,N,N,N,Not specified,City-funded,Y (implied),durham,NC,False,False,False,False,False,4302.0,Durham_city_NC.pdf,review_only,0,-1,0,2003.0,2000
Elgin city,IL,2024,Appointed (Council),N,N,N,Y,City-funded,Y,elgin,IL,True,False,True,False,False,17352.0,Elgin_city_IL.pdf,review_only,1,-1,0,2024.0,2020
Eugene city,OR,2006,Appointed (Council),Y,Y,Y,Y,Volunteer/Unfunded,Y,eugene,OR,True,True,True,True,False,62246.0,Eugene_city_OR.pdf,disciplinary,2,0,2,2006.0,2000
Fayetteville city,NC,2021,Appointed (Council),N,N,N,Y,Volunteer/Unfunded,Y,fayetteville,NC,False,False,False,False,False,8492.0,Fayetteville_city_NC.pdf,review_only,0,-1,0,2021.0,2020
Fort Collins city,CO,1998,Appointed,N,N,N,Y,Not specified,Not specified,fort collins,CO,False,False,False,False,False,131.0,Fort_Collins_city_CO.pdf,review_only,0,-1,0,1998.0,1990
Fort Lauderdale city,FL,1994,Appointed,N,N,N,Not specified,Volunteer/Unfunded,Not specified,fort lauderdale,FL,False,False,False,False,False,247.0,Fort_Lauderdale_city_FL.pdf,review_only,0,-1,0,1994.0,1990
Fremont city,CA,1994,Appointed,N,N,N,Y (advisory capacity),Not specified,Not specified,fremont,CA,False,False,False,False,False,797.0,Fremont_city_CA.pdf,review_only,0,-1,0,1994.0,1990
Fresno city,CA,2017,Not specified,N,N,N,Y,Not specified,Not specified,fresno,CA,False,False,False,False,False,2786.0,Fresno_city_CA.pdf,review_only,0,-1,0,2017.0,2010
Gainesville city,FL,2010,Appointed (Council),N,N,N,Y,City-funded,Y (implied),gainesville,FL,False,False,False,False,False,3680.0,Gainesville_city_FL.pdf,review_only,0,-1,0,2010.0,2010
Grand Rapids city,MI,2019,Not specified,Y,N,N,Not specified,Not specified,Not specified,grand rapids,MI,False,False,False,False,False,1359.0,Grand_Rapids_city_MI.pdf,investigative,0,-1,1,2019.0,2010
Green Bay city,WI,1895,Appointed (Mayor),N,N,Y,Not specified,Not specified,Not specified,green bay,WI,False,False,False,False,False,4579.0,Green_Bay_city_WI.pdf,disciplinary,0,-1,2,1895.0,1890
Hartford city,CT,2020,Appointed (Mayor & Council),Y,Y,Y,Y,Not specified,Y,hartford,CT,False,False,True,False,True,3981.0,Hartford_city_CT.pdf,disciplinary,1,-1,2,2020.0,2020
Houston city,TX,2011,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,City-funded,Not specified,houston,TX,False,False,False,False,False,8295.0,Houston_city_TX.pdf,review_only,0,-1,0,2011.0,2010
Huntsville city,AL,2010,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,Not specified,Y,huntsville,AL,False,False,False,False,False,4948.0,Huntsville_city_AL.pdf,review_only,0,-1,0,2010.0,2010
Jackson city,MS,2021,Appointed,N,N,N,Y,City-funded,Not specified,jackson,MS,False,False,False,False,False,4357.0,Jackson_city_MS.pdf,review_only,0,-1,0,2021.0,2020
Jerseycity,NJ,2021,Not specified,Y,N,N,Y,City-funded,Y (implied),jersey,NJ,False,False,True,True,False,5413.0,Jerseycity_NJ.pdf,investigative,0,-2,1,2021.0,2020
Kansascity,KS,2006,Appointed (Mayor),N,N,N,Y (advisory capacity),Not specified,Not specified,kansas,KS,False,False,False,False,False,3461.0,Kansascity_KS.pdf,review_only,0,-1,0,2006.0,2000
Kansascity,MO,1939,Elected,Y,N,N,Not specified,Volunteer/Unfunded,Not specified,kansas,MO,False,False,False,False,False,5906.0,Kansascity_MO.pdf,investigative,0,-1,1,1939.0,1930
Knoxville city,TN,1998,Not specified,N,N,N,Y,Volunteer/Unfunded,Y,knoxville,TN,False,False,False,False,False,21205.0,Knoxville_city_TN.pdf,review_only,0,-1,0,1998.0,1990
Lakeland city,FL,2020,Appointed,N,Y,N,Y (advisory capacity),Not specified,Not specified,lakeland,FL,False,False,True,False,False,2872.0,Lakeland_city_FL.pdf,review_only,0,-2,0,2020.0,2020
Lakewood city,CO,2025,Appointed,N,Y,N,Not specified,Not specified,Y (implied),lakewood,CO,False,False,True,False,False,2873.0,Lakewood_city_CO.pdf,review_only,0,-2,0,2025.0,2020
Las Vegas city,NV,1999,Not specified,Y,N,N,Not specified,City-funded,Not specified,las vegas,NV,False,False,False,False,False,14444.0,Las_Vegas_city_NV.pdf,investigative,0,-1,1,1999.0,1990
Lexington-Fayette urban county,KY,2021,Appointed,Not specified,N,N,Y,Not specified,Not specified,lexington-fayette urban county,KY,,,,,,,,review_only,0,-1,0,2021.0,2020
Lincoln city,NB,1975,Appointed (Mayor),Y,N,N,Y,Not specified,Y (implied),lincoln,NB,False,False,False,False,False,3995.0,Lincoln_city_NB.pdf,investigative,0,-1,1,1975.0,1970
Little Rock city,AR,2019,Elected,N,N,N,Y,Not specified,Y (implied),little rock,AR,False,False,False,False,False,1258.0,Little_Rock_city_AR.pdf,review_only,0,-1,0,2019.0,2010
Long Beach city,CA,1990,"Appointed (Mayor, confirmed by Council)",Y,Y,N,Y,City-funded,Y (implied),long beach,CA,False,True,True,False,False,5991.0,Long_Beach_city_CA.pdf,investigative,1,-1,1,1990.0,1990
Los Angeles city,CA,1995,Appointed,Y,N,N,Y,City-funded,Y,los angeles,CA,False,False,False,False,False,4776.0,Los_Angeles_city_CA.pdf,investigative,0,-1,1,1995.0,1990
Louisville/Jefferson County metro government (balance),KY,2003,Not specified,N,N,N,Y,Dedicated budget,Not specified,louisville/jefferson county,KY,,,,,,,,review_only,0,-1,0,2003.0,2000
Madison city,WI,2020,Not specified,Limited (review/audit),N,N,Y,Not specified,Y (implied),madison,WI,False,False,False,False,False,3114.0,Madison_city_WI.pdf,review_only,0,-1,0,2020.0,2020
Memphis city,TN,1994,Not specified,Y,Y,N,Y,City-funded,Y,memphis,TN,True,False,True,True,False,49392.0,Memphis_city_TN.pdf,investigative,1,-1,1,1994.0,1990
Mesa city,AZ,2020,Appointed (Council),Y,Y,N,Y,City-funded,Y (implied),mesa,AZ,False,True,True,False,False,11974.0,Mesa_city_AZ.pdf,investigative,1,-1,1,2020.0,2020
Milwaukee city,WI,1911,"Appointed (Mayor, confirmed by Council)",N,N,Y,Y,City-funded,Y,milwaukee,WI,True,True,True,True,True,1531005.0,Milwaukee_city_WI.pdf,disciplinary,3,1,2,1911.0,1910
Mobile city,AL,2015,Appointed (Mayor),N,N,N,Y (advisory capacity),Not specified,Y (implied),mobile,AL,False,False,False,False,False,3140.0,Mobile_city_AL.pdf,review_only,0,-1,0,2015.0,2010
Modesto city,CA,2021,Not specified,N,N,N,Y,Not specified,Y (implied),modesto,CA,True,False,False,False,False,3618.0,Modesto_city_CA.pdf,review_only,1,0,0,2021.0,2020
Nashville-Davidson metropolitan government (balance),TN,2019,Elected,Y,N,N,Y,Not specified,Y (implied),nashville-davidson,TN,,,,,,,,investigative,0,-1,1,2019.0,2010
New Haven city,CT,2021,Appointed (Mayor),N,N,N,Y,City-funded,Y (implied),new haven,CT,False,False,False,False,False,0.0,New_Haven_city_CT.pdf,review_only,0,-1,0,2021.0,2020
New York city,NY,1993,"Appointed (Mayor, confirmed by Council)",Y,Y,Y,Y,City-funded,Y,new york,NY,False,False,True,True,False,5765.0,New_York_city_NY.pdf,disciplinary,0,-2,2,1993.0,1990
Newark city,NJ,2016,Appointed,Y,N,N,Y,City-funded,Y,newark,NJ,False,False,True,False,False,1219.0,Newark_city_NJ.pdf,investigative,0,-2,1,2016.0,2010
Oklahomacity,OK,1992,Elected,N,N,N,Y,City-funded,Y,oklahoma,OK,True,True,False,False,False,9098.0,Oklahomacity_OK.pdf,review_only,2,1,0,1992.0,1990
Olathe city,KS,1995,"Appointed (Mayor, confirmed by Council)",N,N,N,Y,Not specified,Not specified,olathe,KS,False,False,False,False,False,2310.0,Olathe_city_KS.pdf,review_only,0,-1,0,1995.0,1990
