filename,has_sunset,voluntary_cooperation,mandatory_cooperation,has_budget_language,has_union_exclusion,text_length
Stamford_city_CT.pdf,False,False,False,False,False,2347
Syracuse_city_NY.pdf,False,False,True,False,False,3079
Tacoma_city_WA.pdf,False,False,False,True,False,9780
Tallahassee_city_FL.pdf,False,False,False,False,False,3161
Tempe_city_AZ.pdf,False,False,False,False,False,3880
Toledo_city_OH.pdf,False,False,False,False,False,1504
Urban_Honolulu_HI.pdf,True,True,True,True,True,457019
Vallejo_city_CA.pdf,False,False,False,False,False,557
Virginia_Beach_city_VA.pdf,False,False,True,False,False,5801
Washington_city_DC.pdf,False,False,False,False,False,1018
Waterbury_city_CT.pdf,True,True,True,True,True,570813
West_Valleycity_UT.pdf,False,False,True,False,False,12755
Wichita_city_KS_2.pdf,False,False,False,False,False,4868
Winston_Salem_city_NC.pdf,True,False,False,True,False,55009
