ORI,City #,Name,State,Population,STATE_ABB,oversight-board (y/n),oversight-powers ,oversight-charter-found (y/n),Link,Year created,Independently Investigate (y/n) ,Independently Discipline Officers (y/n),Created Via Election,Selection Method of Board Members 
,15,Indianapolis city,Indiana,882006,IN,N,,,,,,,,
,16,Charlotte city,North Carolina,875045,NC,Y,"- hears appeals of dispositions of complaints, complaints alleging excessive form, complaints of improper search/seizure, profiling, and appeals of OIS incidents resulting in death/injury",N,https://www.charlottenc.gov/City-Government/Initiatives-and-Involvement/Citizens-Review-Board,1997,N,N,N,
,17,San Francisco city,California,851036,CA,Y,"- REFORMED 2016informing the SFPD of community concerns
- advise the District Captain on public safety, crime, and quality-of-life issues impacting the district
",Y,https://www.sanfranciscopolice.org/community/stations-meetings/community-police-advisory-boards-cpabs,1982,Y,N,N,
,18,Seattle city,Washington,734603,WA,Y,"Core Functions
OPA's authority and responsibilities include:

Establishing and managing processes to initiate, receive, classify, and investigate individual allegations of SPD employee misconduct
Promoting public awareness of, full access to, and trust in the complaint investigation process
Identifying SPD system improvement needs and recommending effective solutions
Helping reduce misconduct and enhancing employee conduct

Independence
OPA is physically and operationally outside of SPD but within it administratively. This ensures complete and immediate access to all SPD-controlled data, evidence, and personnel necessary for thorough and timely complaint handling.",,https://www.wethepeoplepower.org/civilian-oversight,2017,,,N (Consent Decree),
,19,Denver city,Colorado,710800,CO,Y,- make policy-level recommendations; advisory,Y,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Citizen-Oversight-Board/About-Us,2004,N,N,,
,20,Nashville-Davidson metropolitan government (balance),Tennessee,684103,TN,Y,"- may initiate a Misconduct investigation against a MNPD officer or employee, or the department, based on a Complaint made by a person with personal knowledge of the incident
- request in writing that the MNPD Chief of Police immediately relieve the officer of duties and cause the officer to be placed on administrative assignment with pay pursuant to 4.10.190 of the MNPD Manual, pending completion of the Board's investigation (with sufficient reason)
- make recommendations about policy, discipline",Y,https://www.nashville.gov/departments/community-oversight/boards/community-oversight-board,2019,Y,,Y,
,21,Oklahomacity,Oklahoma,681088,OK,Y,"- provide comments, suggestions and recommendations to the chief of police on department police, procedure, rules, and citizen complaints
- review the investigative process of various police departmental activites",Y,https://www.okc.gov/departments/police/about-us/citizens-advisory-board,1992,N,N,,
,22,El Paso city,Texas,677181,TX,N,,,https://www.ktsm.com/local/el-paso-news/city-council-hears-update-on-discipline-review-board/,,,,,
,23,Washington city,District of Columbia,670587,DC,Y,"- investigate civilian complaints According to its enabling statute, PCB is composed of five members, one of whom must be a member of MPD, while the other four must have no current affiliation with any law enforcement agency. All Board members must be residents of the District of Columbia, and they serve staggered three-year terms without compensation. The Mayor nominates members to the Board, who must then be confirmed by the Council.

The Board meets on the third Thursday of every other month. At these meetings, OPC management updates Board members about various issues, including developments in office infrastructure, outreach, and personnel matters. In addition, the Board is provided with a report of the complaints received by OPC, along with the disposition of these complaints. The Board takes an active role in the work of OPC, offering guidance on many issues affecting the operation of the office. The Board also is charged with reviewing the executive director’s determinations regarding the dismissal of complaints, making recommendations to the Mayor, the Council, MPD, and DCHAPD, where appropriate, regarding changes in policy that may decrease the level of police misconduct, and monitoring and evaluating MPD’s handling of protests and demonstrations held in the District of Columbia.


- make recommendations",N,https://policecomplaints.dc.gov/,1999,N,N,,
,24,Boston city,Massachusetts,665945,MA,Y,"- conduct random reviews and to review appeals to Boston Police Department about internal affairs investigations
- review internal investigations appealed by complainants (new version as of 2020)",N,https://www.cityofboston.gov/images_documents/CO-OP%20Brochure[1]_tcm3-9872.pdf,2007,N,N,,
,25,Portland city,Oregon,646101,OR,Y,"- review incidents and investigations
- make recommendations to the Chief regarding policy, training, discipline",Y,https://www.portland.gov/police/divisions/prb-reports https://www.portland.gov/code/3/20/140,2010,N,N,,
,26,Las Vegas city,Nevada,644835,NV,Y,"- advise the police department and its Committee on Fiscal Affairs on issues concerning peace officers, refer complaints against officers to the department
- review internal investigations by the Department regarding discipline",Y,https://citizenreviewboard.com/,1999,Y,N,,
,27,Detroit city,Michigan,636787,MI,Y,"- receive and resolve any complaint concerning the operation of the Police Department
- act as final authority in imposing or reviewing discipline of employees of the department
- subpoena witnesses, administer oaths, takes testimony, and require the production of evidence
- plenary authority over citizen complaints, except those containing allegations of criminality
- suspend employees without pay with the occurrence of a twothirds majority vote of members of the Board
- approve all promotions within the Department through the rank of lieutenant and approve all appointments to the ranks above lieutenant including Deputy Chiefs",Y,https://detroitmi.gov/government/boards/board-police-commissioners,1974,N,Y,,
,28,Memphis city,Tennessee,630027,TN,Y,"CLERB, established in 1994, is an independent agency that has the authority to investigate allegations of misconduct within the MPD. Chairman Kirkwood says the need for more authority is more pressing now than ever, as five MPD officers have been terminated and some charged with second-degree murder, aggravated assault, and kidnapping.

Memphis City Councilman J.B. Smiley said the board can only effectively operate if given the power to call accused officers forward and gather information directly. 

“It has no teeth,"" Smiley said. ""It doesn’t have the power to subpoena. What makes CLERB effective is the power to subpoena individuals who are operating in the Memphis police department or individuals who are operating in various departments that are associated with crime or excessive force.”  

Kirkwood said the board can subpoena law enforcement officials but only through the city council member who sits on CLERB. That member(s) then brings it before the full council for a vote and the council ultimately approves or denies that request. And even then only council members can question those who are subpoenaed. 

- authorized to request through the Memphis City Council or the Shelby County Commission that when necessary the council or the commission would exercise that body's subpoena powers to effectuate an investigation",Y,https://www.clerbmemphis.org/,1994,Y,N,,
