ORI,City #,Name,State,Population,STATE_ABB,oversight-board (y/n),oversight-powers ,oversight-charter-found (y/n),Link,Year created,Independently Investigate (y/n) ,Independently Discipline Officers (y/n),Created Via Election,Selection Method of Board Members 
,83,Reno city,Nevada,265196,NV,N,,,https://www.renopd.com/IA,,,,,
,84,Fort Wayne city,Indiana,264514,,,,,,,,,,
,85,North Las Vegas city,Nevada,264022,NV,N,,,https://www.muckrock.com/foi/north-las-vegas-8946/city-policies-regarding-civilian-oversight-of-police-city-of-north-las-vegas-police-department-31582/#file-115329,,,,,
,86,St. Petersburg city,Florida,259343,FL,Y,"- reviews cases after adjudication
",Y,https://www.stpete.org/government/boards___committees/civilian_police_review_committee.php,1991,N,,,
,87,Lubbock city,Texas,258190,TX,N,,,https://ci.lubbock.tx.us/departments/city-secretary/boards-commissions,,,,,
,88,Laredo city,Texas,255293,TX,N,,,https://www.muckrock.com/foi/laredo-2908/city-policies-regarding-civilian-oversight-of-police-laredo-police-department-31581/#file-114628,,,,,
,89,Irving city,Texas,254962,TX,N,,,https://policeoversight.uchicago.edu/cities,,,,,
,90,Winston-Salem city,North Carolina,249571,NC,Y,"- advisory board to the City Manager and Public Safety Committee
- reviews citizens’ request for appeals of the Police Chief’s decision regarding complaints against Police Department employees, determines necessity of a hearing, and, when necessary, conducts appeals hearings which include receiving and evaluating testimony, and issuing findings of facts to the City Manager for action and the Public Safety Committee for its information
- reviews a summary of internal and externally made complaints against the police officer",Y,https://www.cityofws.org/849/Citizens-Police-Review-Board,1993,N,,,
,91,Chesapeake city,Virginia,249377,VA,Y,,,https://www.cityofchesapeake.net/727/Police-Department,2010,N,N,,
,92,Glendale city,Arizona,248083,AZ,N,,,https://www.muckrock.com/foi/glendale-9556/city-policies-regarding-civilian-oversight-of-police-glendale-police-department-31579/,,,,,
,93,Garland city,Texas,244026,TX,N,,,https://www.garlandtx.gov/282/Boards-Commissions,,,,,
,94,Scottsdale city,Arizona,240537,AZ,N,,,https://www.nacole.org/oversight_agency_directory,,,,,
,95,Norfolk city,Virginia,236973,VA,N,,,https://www.13newsnow.com/article/news/community/norfolk-citizen-review-board-vote/291-8d3dd4ee-bc88-479f-838b-3efd7ae04885,,,,,
,96,Arlington,Virginia,235845,VA,Y,"- review and recommend disciplinary actions concerning investigations completed by the County Police Department and the Independent Policing Auditor for certain matters
- to carry out authorized functions, board may enter into a memorandum of understanding with the County Police Department, subject to review and approval of the County Board",Y,"https://www.arlingtonva.us/Government/Commissions-and-Advisory-Groups/Community-Oversight-Board#:~:text=The%20Oversight%20Board%20consists%20of,appointed%20on%20March%2022nd%2C%202022.",2021,N,N,,
,97,Boisecity,Idaho,234192,ID,Y,"- review the investigation and final determination of OIA to ensure that the investigation was complete, thorough, objective, and fair
- conduct any additional investigation if the initial investigation was incomplete or otherwise inadequate
- make policy recommendations as appropriate",Y,https://www.cityofboise.org/departments/office-of-police-accountability/,2021,N,N,,
,98,Fremont city,California,228795,CA,Y,"- provides guidance to the Chief of Police on strategic planning, policy development, and new initiatives",N,https://www.fremontpolice.gov/about-us/office-of-the-chief-of-police/community-advisory-group,1994,N,N,,
,99,Spokane city,Washington,227922,WA,Y,"- conduct a preliminary investigation regarding the complaint for the purpose of determining whether to forward the complaint to IA
- make a recommendation for mediation to the chief of police prior to investigation
- unimpeded access to all complaint and investigative files from OPO Involved Investigations for auditing and reporting purposes
- recommend policies and procedures for the review and/or audit of the complaint resolution process and review and recommend changes in departmental policies to improve the quality of police investigations and practices, including the IA investigation process
- independently investigate any non-disciplinary matter necessary to enable the OPO to issue policy and procedure recommendations",Y,"https://my.spokanecity.org/opo/authority/#:~:text=On%20October%206%2C%202008%20the,are%20timely%2C%20thorough%20and%20objective. The OPO may receive complaints from any complaining party, including, without limitation, citizens or employees of the police department. The OPO may conduct a preliminary investigation regarding the complaint for the purpose of determining whether to forward the complaint to IA. The preliminary investigation shall include, as appropriate, interviewing the complainant and interviewing any other person who the complainant asserts was subject to the improper use of force or improper/inappropriate interaction with an officer. If after this interview(s) the OPO is unable to determine whether the matter should be forwarded to IA, the OPO may conduct such additional interviews as are reasonably necessary to determine whether to forward the case to IA. If a complainant or witness refuses to have his or her interview recorded, he or she shall be asked to write out his or her complaint. All interviews will be conducted by the OPO. In the event the OPO is unavailable to conduct the initial interview, the complainant will be asked to prepare a written statement or taped oral narrative concerning the matter, allowing the OPO to subsequently determine whether an actual interview should be conducted. Officers will not be interviewed as part of the preliminary investigation, unless the complainant is an officer. If the complainant is an officer, the OPO may request an interview from the complainant officer as part of the preliminary investigation.
If the OPO determines that the complaint should not be forwarded to IA, the OPO may publish a closing report, which states the allegations of the complaint and the basis for the OPO’s determination that the complaint did not need to be forwarded to IA. Neither this closing report nor the preliminary investigation shall be used for discipline; the closing report and any part of the preliminary investigation that is released shall not reveal the names of the officers involved. For each complaint where the OPO determines that the complaint does not need to be forwarded to IA, the OPO shall forward to IA its determination as well as the name of any complainant and/or witnesses and the details of the alleged complaint.

If the OPO determines that the complaint should be forwarded to IA, the OPO will forward the complaint and any preliminary investigation to IA within three business days for processing and, when appropriate, investigation. The OPO will not act upon complaints concerning events that occurred more than one year prior to the filing of a complaint. The OPO will not conduct separate disciplinary investigations, but may participate in all OPO Involved Investigation interviews and request that further investigation be conducted by IA as provided herein.

In addition to complaints received by the OPO, IA will provide copies of all other OPO Involved Investigation complaints to the OPO within three business days. Once the case is closed, the OPO will return all case file materials to IA for retention consistent with the police department’s record retention policy but will have subsequent access to closed cases.
The OPO will have the opportunity to make a recommendation for mediation to the chief of police prior to investigation. In the event the department, the complainant, and the officer all agree to mediation, that process will be utilized rather than sending the matter on for investigation. Assuming the officer participates in good faith during the mediation process, the officer will not be subject to discipline, and no disciplinary finding will be entered against the officer. Good faith means that the officer listens to all information presented and considers the issues raised by the complainant, and acts and responds appropriately. Agreement with either the complainant or the mediator is not a requirement of good faith. In the event an agreement to mediate is reached and the complainant thereafter refuses to participate, the officer will be considered to have participated in good faith.",2008,Y,N,,
,100,Richmond city,Virginia,227171,VA,Y,- make recommendations for discipline or policy changes to the police chief after reviewing investigations by the department’s internal affairs division,Y,https://www.wric.com/news/local-news/richmond/richmond-establishes-police-civilian-review-board/,2022,N,N,N,
,101,Santa Clarita city,California,225850,CA,N,,,,,,,,
,102,Baton Rouge city,Louisiana,225500,LA,N,,,https://www.nacole.org/oversight_agency_directory,,,,,
,103,Enterprise,Nevada,225461,NV,N ,Technically Policed by LVPD,,,,,,,
,104,Hialeah city,Florida,222996,FL,N,,,,,,,,
,105,San Bernardino city,California,221041,CA,N,,,,,,,,
,106,Spring Valley,Nevada,220114,NV,N,Technically policed by LVPD,,,,,,,
,107,Tacoma city,Washington,219234,WA,Y,"Duties and Responsibilities
Review police policy, procedures, rules, training, completed investigations, and programs at the request of the City Council, City Manager, or Chief of Police
Provide advice and recommendations to the City Council, the City Manager, and the Chief of Police on police policy, procedures, rules, training, and programs
Foster understanding between Tacoma Police Department (TPD) and the community, and promote TPD services and resources
Promote awareness of the public complaint process, and review policy and conduct complaints by members of the public
Review completed administrative investigations of complaints to evaluate needs and effectiveness of policies, training, and programs
Convene community conversations on services, programs, policy, procedures, rules, training, and issues of public safety",,https://tacoma.gov/government/committees-boards-and-commissions/communitys-police-advisory-committee/,2013,N,N,N,
,108,Modesto city,California,218308,CA,Y,https://www.modestogov.com/DocumentCenter/View/22215/COMMUNITY-POLICE-REVIEW-BOARD-BYLAWS,Y,https://www.modestogov.com/2908/Community-Police-Review-Board,2021,N,N,N,
,109,Huntsville city,Alabama,215025,AL,Y,"Core Tasks

Advise the HPD Chief & Command Staff leadership on changes to policy, recruitment & hiring, and best practices
Facilitate dialogue and trust with the community through public meetings and community outreach (i.e. attend/speak at a wide variety of venues)
Provide two HPCAC members to all Incident Review Boards (IRBs)
Support the Internal Affairs process for citizen complaints
Participate in the HPD Strategic Plan review
Participate in the HPD Annual Report review
Review a quarterly summary of IA complaints to identify trends, patterns or areas of concern that need to be addressed
Promote & participate in the HPD ride-along program
Attend HPD education seminars to become more knowledgeable on policing practices (i.e. How & Why police do what they do)",,https://www.huntsvilleal.gov/residents/public-safety/huntsville-police/community-resources/hpcac/,2010,N,N,N,
,110,Des Moines city,Iowa,213164,IA,N,,,,,,,,
,111,Rochester city,New York,210992,NY,Y,"LOST POWERS IN COURT IN 24: What the PAB's powers were (pre-2024 ruling):
Investigated civilian complaints of police misconduct, policy violations, and improper RPD patterns, practices, and procedures. 
Had the authority to assess RPD patterns and practices to promote public accountability and transparency. 
Published monthly data on the receipt and disposition of complaints on its website. 
Published redacted reports with disciplinary recommendations based on its findings. 
Impact of the 2024 Court Ruling:
Loss of disciplinary power: The ruling found that the PAB's authority to discipline officers violated state civil service laws and the Locust Club's collective bargaining agreement. 
Restrictions on hearings: The PAB can no longer hold disciplinary hearings. 
Limitations on investigations: Compelling officer testimony and publishing internal investigative reports are also restricted. 
",,,2019,Y,Y,Y,
,112,Port St. Lucie city,Florida,210520,FL,N,,,,,,,,
,113,Yonkers city,New York,209780,NY,N,,,,,,,,
,114,Moreno Valley city,California,209578,CA,N,,,,,,,,
,115,Fontana city,California,209279,CA,N,,,,,,,,
,116,Fayetteville city,North Carolina,208697,NC,Y,"https://www.fayettevillenc.gov/home/showpublisheddocument/18629/637654946751930000.  CPAB aims to address a variety of goals including considering police wellness and safety programs, encouraging a diverse workforce, and listening to and educating the public about police and justice. It will also evaluate police department performance using department-generated reports from use of force, pursuit, traffic stops, etc. and make recommendations as necessary. CPAB will only have access to materials in the public record and will not have access to internal affairs documents.  

As set out in its charter, the board will also develop a plan to gain community input. With this information, the advisory board will provide recommendations that focus on community policing and offer interactive police and community events. 

",Y,https://civilianboards.sog.unc.edu/profiles/,2021,N,N,N,
,117,Columbus city,Georgia,204572,GA,N,,,,,,,,
,118,Worcester city,Massachusetts,204191,MA,N,,,,,,,,
,119,Oxnard city,California,202279,CA,Y,Unclear...,,https://www.oxnard.gov/measure-o-citizen-oversight-committee,2010,N,N,N,
,120,Little Rock city,Arkansas,202218,AR,Y,"The CRB was established through Ordinance 21,763, enacted by the Little Rock Board of Directors on July 23, 2019.

The scope of the Citizens Review Board inquiry is limited to the following:

Use of Force that has resulted in a physical injury or serious physical injury;
Use of Deadly Force;
Corruption; or
Bias-based policing
The Citizens Review Board meets on an as-needed basis at the call of the chair to review complaints when received after internal review.  CRB review is stayed pending Civil Service Commission adjudications and criminal and/or civil court proceedings involving the allegation of the requested review. The Citizens Review Board reviews certain investigations for accuracy, completeness, impartiality, objectivity, and thoroughness, and provides findings and recommendations based on those reviews. Citizen complaints are reviewed only after formal Internal Affairs investigations are closed, or if a review is requested by both the Civil Service Commission and the CRB. 


",Y,https://www.littlerock.gov/city-administration/city-boards-and-commissions/citizens-review-board/,2019,N,N,N,
,121,Frisco city,Texas,202075,TX,N,,,,,,,,
,122,Augusta-Richmond County consolidated government (balance),Georgia,201615,GA,N,,,,,,,,
,123,Salt Lakecity,Utah,201269,UT,Y,"Member Qualifications
21 members, three from each Salt Lake City Council District, serve on the Police Civilian Review Board. Each member is appointed by Mayor Erin Mendenhall, with the advice and consent of the Salt Lake City Council, to a three year term. The Board aims for balanced representation of geographical, professional, racial, gender, and ethnicity. As a result of the technical knowledge needed for this board, all members are required to complete a detailed training program. Members are also subject to a thorough background check before being appointed

Powers and Duties
The Board is intended to help foster trust between the community and law enforcement personnel. The recommendations of the board shall not be deemed to bind the mayor and the police chief in their determinations. Nothing in this chapter shall be construed to be a delegation of the mayor's responsibility and authority regarding the police department. (Ord. 19-04 § 9, 2004: Ord. 52-03 § 1, 2003)

",Y,https://codelibrary.amlegal.com/codes/saltlakecityut/latest/overview,2003,N,N,N,
,124,Birmingham city,Alabama,200431,AL,Y,"PSAC’s purpose is four-fold: 

Provide transparency to the public about police operations
Provide the Mayor with an independent assessment of police operations
Create a space for accountability of the city and the police department for its operations in support of public safety
Create a space to review community complaints in support of public safety. The committee members serve on a voluntary basis and are not compensated. Members of the committee are: 

“The problem with this committee is that it has no authority,” said Florence L. Finkle, vice president of the National Association for Civilian Oversight of Law Enforcement. “It doesn’t have any authority to do anything. So what is it supposed to tell the public its authority is? The goals set forth in the mayor’s executive order do not match with the actual authority they have.”

The committee can hire investigators and mediators, but it doesn’t have the authority to subpoena anyone to testify or to get records like body camera video, police reports or personnel records. In fact, the committee isn’t allowed to consider the most controversial cases, because the committee can’t get involved if there’s an internal police department review, a lawsuit or other reviews by the district attorney or the county personnel board.


",,https://www.birminghamal.gov/news/mayor-woodfin-revises-civilian-review-process-new-public-safety-advisory-committee-provide,2021,Y,N,N,
,125,Amarillo city,Texas,200360,TX,N,,,,,,,,
,126,Montgomery city,Alabama,199819,AL,N,,,,,,,,
,127,Cape Coral city,Florida,198912,FL,N,,,,,,,,
,128,Sunrise Manor,Nevada,198325,NV,N,Governed by LVPD,,,,,,,
,129,Tallahassee city,Florida,198259,FL,Y,"https://www.wctv.tv/2024/08/22/city-tallahassee-quietly-shuts-down-citizens-police-review-board/ shut down in 2024 by state pre-emption.  (1) To review completed Department internal affairs reports involving use of force or other
35 cases and issues of importance or interest to the community or the city, provided there is no
36 related pending internal affairs investigation or the same has been completed. In conducting its
37 review, the CPRB may determine whether the investigation and disposition of the case was
38 consistent with Department policies and procedures and make recommendations regarding any
39 revisions or additions to Department policies and procedures.
40
41 (2) Through review of matters of importance or interest at its discretion, or at the request of the
42 Chief of Police, the CPRB may make recommendations to the Chief of Police for any revisions
43 or additions to Department policies and procedures after the Department’s completed handling of
44 the matter.",Y,https://library.municode.com/fl/tallahassee/ordinances/code_of_ordinances?nodeId=1041759,2020,N,N,N,
,130,Grand Rapids city,Michigan,198096,MI,Y,"OPA Personnel shall be provided access to all information, documentation, and recorded interviews of city employees, which are part of IA’s investigations (limited to those types of investigations enumerated above). Furthermore, at the request of a complainant, OPA’s Director may attend the investigatory interview conducted by IA, in person or otherwise agreed upon. Pursuant to Administrative Order 2021-06 (AO 2021-06), OPA shall receive weekly summary reports of all complaints received by IA during the preceding week. These reports are to contain the date IA received the complaint, the nature of the complaint, the complainant’s name, the assigned complaint number, and any additional supporting information. Upon completion of an investigation by IA, OPA shall receive a copy of the final disposition report in the same form as the final disposition report sent to the complainant. Furthermore, OPA is authorized to request additional documents, records, and information from IA. These requests shall identify the investigation, the specific request, and the reasons for the request, and are to be reviewed by GRPD’s Chief. If GRPD’s Chief denies such a request, the denial shall be provided in written form to OPA’s Director and the City Manager. If the request is approved, GRPD shall take reasonable steps to provide the requested documents, records, and information as timely as possible while abiding by applicable federal and state laws, and shall also provide OPA Personnel with an estimated completion date for each requided. Pursuant to Art. 10, § 12 of the City’s Collective Bargaining Agreement with GRPD, Art. 7, §§ 10 and 11 of the City’s Collective Bargaining Agreement with GRPCOA, and City Commission Policy 800-02, OPA may conduct supplemental investigations where CAB considers the record to be inadequate to complete its review. Upon completion of the requested supplemental investigation, OPA shall provide a written report to CAB summarizing the actions taken and information received during the supplemental investigation (see § 6.5). In addition, OPA’s Director serves as the Liaison to CAB, assists in appeal hearings, and works with CAB’s members to draft CAB’s Annual Report. ",Y,https://www.grandrapidsmi.gov/Government/Departments/Office-of-Oversight-and-Public-Accountability,2019,Y (supplemental appeals),N,N,
,131,Huntington Beach city,California,197481,CA,N,,,,,,,,
,132,Grand Prairie city,Texas,197279,TX,N,,,,,,,,
,133,Overland Park city,Kansas,196676,KS,Y,"The Independent Citizen Advisory Board for Racial Profiling and Non-Biased Policing advises and assists in policy development, education and community outreach and communications related to racial profiling and other non-biased policing efforts of the Overland Park Police Department.

The board reviews complaints regarding race, ethnicity, national origin, gender or religion. Kansas state statute does not consider actions to be racial or other biased-based policing when race, ethnicity, national origin, gender or religion is used in combination with other identifying factors as part of a specific individual description to initiate an enforcement action.

All Independent Citizen Advisory Board for Racial Profiling and Non-Biased Policing meetings are open to the public.

During meetings, the board may recess into executive session to hear details of each investigation. The board will return to open session to announce its findings.
",Y,https://www.opkansas.org/city-government/boards-commissions/independent-citizen-advisory-board-for-racial-profiling-and-non-biased-policing/,2017(?),N,N,N,
,134,McKinney city,Texas,196160,TX,N,,,,,,,,
,135,Glendale city,California,194512,CA,N,,,,,,,,
,136,Sioux Falls city,South Dakota,193401,SD,N,,,,,,,,
,137,Knoxville city,Tennessee,191857,TN,Y,"Technically banned in 22 by state pre-emption. City leaders responded by forming PARC, which provides an independent review of police activity and makes recommendations to the chief of police. It is comprised of seven volunteers served by a full-time executive director hired by the mayor and one investigative manager.

PARC’s authority has traditionally been limited to reviewing internal affairs investigations and making suggestions that KPD can choose to ignore. Critics, in turn, have often accused it of being a toothless exercise in public relations rather than a source of genuine accountability. 

",Y,https://www.knoxvilletn.gov/government/boards_commissions/police_advisory_review_committee,1998,N,N,N,
,138,Peoria city,Arizona,191292,AZ,N,,,,,,,,
,139,Vancouver city,Washington,190700,WA,N,,,,,,,,
,140,Akron city,Ohio,190273,OH,Y,"The Citizens' Police Oversight Board (CPOB) is composed of nine residents of Akron, Ohio. Three members are appointed by the City of Akron Mayor with the approval of the City Council, and the other six are appointed by a two-thirds majority vote of the City Council. Furthermore, no more than two members can come from the same ward.

The Citizens' Police Oversight Board (CPOB) oversees the Office of the Independent Police Auditor (OIPA) as well. The OIPA consists of three full-time staff members: the Independent Police Auditor, the Deputy Independent Police Auditor, and an Administrative Assistant. The OIPA conducts external and independent review of police practices in Akron, Ohio. In addition to seating a Board who represents the diversity of the Akron community, the Mayor and Council will endeavor to include individuals who meet the following criteria:   

Attorney with criminal justice and/or civil rights experience 
Between the age of 18 and 35 
From the faith-based community 
Professional background in mental health services 
Affiliated with an organization representing economically disadvantaged and underserved communities in Akron 
Professional background in law enforcement 
Under the newly approved rules, the board must investigate complaints after the APD’s internal investigation is completed.

Board members hope to gain the authority to conduct simultaneous investigations later this year when the city renegotiates its contract with the police union.

The board also changed the rules last week to clearly state that it cannot force members of the police union to comply with subpoenas.

The rules state Akron police officers’ “duties to comply” with subpoenas issued by the CPOB or police auditor “are voluntary.”

Under the city’s current contract with the police union, the board cannot force union members to testify if they don’t want to, according to city lawyers, Gippin said.

“We’re not giving up the subpoena power,” Gippin said. “What we’re saying is, at least as matters currently stand with the collective bargaining agreement with the FOP, we will not seek to exert that power … over the opposition of the officer who is being subpoenaed.”

",Y,https://library.municode.com/oh/akron/codes/code_of_ordinances?nodeId=TIT3AD_CH31DEBOCO_ART3CIOVPO_31.51CIPOOVBO,2023,Y,N,"Y -- The CPOB was established after the passage of issue 10 that amended the City of Akron charter by a 62% voter margin in November of 2022, following the death of Jayland Walker on June 27th,2022. The nine-member board was seated in March 2023.",
,141,Paradise,Nevada,189733,NV,N,Part of LVPD,,,,,,,
,142,Providence city,Rhode Island,189715,RI,Y,"https://www.providenceri.gov/pera/ The Providence External Review Authority serves as a civilian oversight body that investigates allegations of police misconduct. PERA was formed by ordinance Section 18 ½-(2) of the Providence, RI Code of Ordinances to create and implement community outreach programs. It reviews policies and procedures of the Providence Police Department and allegations of misconduct on the part of sworn officers of the City of Providence police department, including investigating the same, conducting hearings and making findings of fact with respect to those allegations.

 Scope of authority. The authority shall:(1)Create and implement community outreach programs;(2)Review police department policies and training procedures and make recommendations or change; and(3)Receive complaints that allege misconduct by a police officer or officers, including, but not limited to, the following:Evidentiary hearings. Upon completion of such investigation, the executive director, may request a dismissal from the authority and the chair shall hold a hearing for the proposed dismissal (and in such event the executive director shall file a written statement providing reasons for such proposed dismissal) or forward the same to full hearing. The authority shall randomly select a three (3) person panel from its members to consider the matter and the chairperson shall designate a foreperson of the panel. At such evidentiary hearing, the authority shall weigh and consider all reliable and credible evidence. The panel shall make all reasonable efforts to complete evidentiary hearings and render a written decision within sixty (60) days of the completion of the investigation. In those instances in which the complainant is otherwise unrepresented by counsel, the authority legal counsel shall present evidence to the panel on behalf of the complainant. The police officer may be represented by counsel and union representatives, may present evidence and conduct cross-examination of witnesses.(s)Subpoena power. At the request of legal counsel for either party, the executive director shall compel the presence of witnesses and/or documents at evidentiary hearings by applying to the city council for the issuance of subpoenas and where appropriate may seek that the city council request the appropriate court sanctions against anyone who fails to comply with any subpoena so issued.(t)Cooperation. All municipal board, bureaus, commissions, department and employees shall respond promptly to any and all lawful requests for municipal information sought for such evidentiary hearings, and for access to data and records for the purpose of enabling the authority to carry out its responsibilities under this chapter. The failure of any official or employee to respond to lawful requests for such information and data shall be deemed an act of misconduct.(u)Findings of fact and determination. Within thirty (30) days of the completion of an evidentiary hearing, the hearing panel shall issue a written report containing findings of fact; a determination of whether or not the complaint has been sustained by a preponderance of the evidence; if applicable the level of violation described in the disciplinary matrix developed by PERA and the chief of police, and a recommendation of discipline. When a complaint is sustained, the findings of fact and the determination shall be submitted to the chief of police. The chief shall impose discipline based upon the level of violation as found in the disciplinary matrix to be promulgated by the authority in accordance with subsection (e)(1). The chief of police shall, also provide the authority, the city council, and the mayor with a written explanation of the reason(s) for his/her disciplinary decision. The hearing panel report and the police chiefs explanation for his/her decision shall be available to the public provided that the name of the complainant and/or respondent shall be kept.",Y,https://library.municode.com/ri/providence/codes/code_of_ordinances?nodeId=PTIICOOR_CH18_1-2PO_S18_1-2_-2PREXREAUPE,2002,Y,Y (disciplinary matrix?),N,Appointed
,143,Brownsville city,Texas,186999,TX,N,,,,,,,,
,144,Mobile city,Alabama,186316,AL,Y,"The Mobile Police Department Citywide Citizen Advisory Panel is the result of many meetings that occurred shortly after James Barber took office as the Chief of Police in November 2013. The meetings held were with concerned community leaders complaining about the tactics and strategies used by law enforcement that they felt were unfair and the harassment young people encountered in the community. In 2015, the discussions moved to formalize the partnerships with community leaders into a citywide panel while maintaining the sub panels to help with specific problems in specific neighborhoods. A policy for the Citywide Citizen Advisory Panel was approved on June 22, 2015, establishing the Department as one that is responsive to the needs and concerns of the community it serves as they pertain to police services.",N,,2015,N,N,N,Appointed
,145,Shreveport city,Louisiana,186183,LA,N,,,,,,,,
,146,Newport News city,Virginia,185118,VA,N,,,,,,,,
,147,Fort Lauderdale city,Florida,182673,FL,Y,"is made of six volunteers from the community, and three employees from the police department",N,,1994,N,N,N,Appointed
,148,Aurora city,Illinois,181405,IL,Y,"Review, evaluate, and make recommendations concerning the police department’s activities and efforts in promoting and achieving equity with respect to racial, gender, and cultural diversity in officer recruitment and training; (2) Review, evaluate and make recommendations concerning   the department’s overall relationship with the public;  (3) Add an outside perspective to the evaluation of civilian complaints; (4) Review and evaluate the administration and consistency in the imposition of discipline within the 17 18 19 20 21 22 23 department with respect to civilian complaints;   (5) Provide a timely, fair, and objective review of civilian complaints, the manner which they are investigated and a recommendation to the chief as to proposed discipline prior to imposition; and (6) Provide a systematic means to achieve continuous improvement in the interactions between the public and police The board shall: (a) Receive complaints from members of the public as to allegations of misconduct by members of the department and shall refer the same to the department for review; (b) Receive information as to disposition of civilian complaints that did not result in the commencement of a formal investigation received by the board; (c) Review the written findings and recommendations of formal investigations arising from civilian complaints for the purpose of determining whether the investigation was complete, thorough, objective, and fair, based on the following factors:  (1) The thoroughness with which each allegation has been investigate  The appropriateness of any recommended sanctions; (d) Prior the imposition of any discipline resulting from a formal investigation of a civilian complaint, prepare a written report to the chief as to the board’s findings and recommendations as to discipline; ",Y,https://www.aurora.il.us/files/sharedassets/mainsite/v/1/boardscommissions/documents/ordinance-20-0710-creating-a-civilian-review-board.pdf,2020,N,N,N,Appointed
,149,Chattanooga city,Tennessee,181288,TN,Y,"Efforts to create Chattanooga’s police-oversight board began in 2019 and the Police Advisory and Review Committee did not become official until July 2020, when it was approved unanimously by the Chattanooga City Council. In order to serve on PARC, members must be nominated by council members, allowing for one person to represent each of Chattanooga’s nine districts. Volunteer board members must be residents of Chattanooga and can serve up to two terms.

PARC members must also complete a citizen’s police academy, a procedure lasting two months. Because of the COVID-19 pandemic, training was delayed and PARC members were not able to review complaints until October 2020. 

The board receives complaints either through citizens or internally, including requests by the Chattanooga Police Department to review whether an officer violated police protocol.

Complaints are then reviewed by a chain of command or internal affairs, depending on the severity of the alleged misconduct. 

If a complaint is initiated by the police, the investigation goes through the officer’s chain of command, eventually leading to the police chief making a formal recommendation. The PARC then receives the complaint with the completed investigation, and according to Kay Baker, spokesperson for PARC, members have access to anything they want, such as body cam footage. Members then review the investigation during meetings attended by the assistant police chief, who presents the case and answers any questions.

PARC’s current ordinance allows them to request additional investigations, but  according to Baker, they haven’t needed to.

PARC members then vote whether officer violations are sustained, not sustained, exonerated or unfounded. The final recommendation is then sent back to the police chief, who makes the ultimate decision. 

Officers can request a hearing, and because of this and other lengthy investigations, complaints can take several months to reach the PARC. Complaints initiated by police can also be resolved internally by the time they reach the PARC. 

",N,,2020,N,N,N,Appointed
,150,Tempe city,Arizona,181005,AZ,Y,"There is hereby established a Tempe Citizens' Panel for review of police complaints and use of force (""panel"") to be composed of fifteen (15) citizen members and four (4) Police Department members consisting of two (2) sergeants and two (2) line level officers, who shall serve for a two (2) year term. The Police Department members shall be selected by the Chief.(b)When functioning as a review sub-panel as described in Section 2-288, each sub-panel shall consist of six (6) citizen members and two (2) Police Department members consisting of one (1) sergeant and one (1) line level officer. The citizen members of each sub-panel shall be selected by the City Manager. The Police Department members of each sub-panel shall be selected by the Chief.(c)The Chief shall appoint an Assistant Chief to serve as the non-voting chairperson/ facilitator of the panel and each sub-panel.(d)This panel shall act in an advisory capacity to the Chief of Police and the City Manager. The sub-panel shall have the following powers and duties:(1)To review all police shootings and any police incidents wherein direct physical force by the police results in serious injury or death. Serious injury is defined as physical injury that creates a reasonable risk of death, or that causes serious and permanent disfigurement, serious impairment of health or loss or protracted impairment of the function of any bodily organ or limb;(2)To review the findings of the Police Department's investigation of not-sustained, unfounded or exonerated citizen complaints, when that citizen requests a review of the Police Department's findings. A request for review must be made within thirty (30) days from the date the citizen is notified of the findings of the Police Department's investigation; and(3)To review any Police Department incident, at the request of the Chief of Police.(c)After a review of the record, each review panel shall make one (1) of the following findings in a written report to the Chief of Police:(1)Agree with the findings of the Police Department investigation;(2)Disagree with the findings of the Police Department investigation;(3)Advise the Chief of Police that further investigation is warranted; or(4)Upon a review of a use of police force incident, the review panel shall make a further finding whether the use of police force was within Police Department policy.(d)The panel may make recommendations to the Chief of Police concerning training programs, revisions of policies or procedures, commendable actions, preventive or corrective measures (except for employee discipline) as it relates to the sub-panel findings of the incident being reviewed.",Y,https://library.municode.com/az/tempe/codes/city_code?nodeId=CH2AD_ARTXTECIPAREPOCOUSFO,1999,N,N,N,Appointed
,151,Santa Rosa city,California,178221,CA,N ,"Has OIR Audit group, that is an independent monitor",,,,,,,
,152,Eugene city,Oregon,176755,OR,Y,"The Independent Police Auditor supports a Civilian Review Board (CRB) which provides valuable input about the fairness, completeness, and thoroughness of the investigative process. The CRB monitors the work of the Independent Police Auditor, reviews closed complaint cases and provides policy recommendations to the Eugene Police Department and the Police Commission. The seven-member civilian board helps make the system of police accountability more transparent and increases public confidence in the manner that police conduct their work.

August 2005:  City Council adopts Resolution No. 4850 referring to the Eugene voters a City Charter amendment based on the Police Commission’s recommended hybrid model of police oversight.  
November 2005: Eugene voters (75%) approve a Charter amendment adding a new Section 15-A “External Review of Police” to the City Charter establishing the office of the Independent Police Auditor and the Civilian Review Board. 
 -- The civilian review board may provide a forum to gather community concerns  -- The civilian review board shall evaluate the work of the auditor’s office. In that        regard the civilian review board: -- The civilian review board shall review trends and statistics of complaints against        sworn police officers and civilian police employees and may develop          recommendations t -- The civilian review board shall notify complainant(s) and involved employee(s) of its         decisions on whether to accept a case for review, and shall inform the complainant of         its conclusions on the case",Y,https://www.eugene-or.gov/DocumentCenter/View/18785/Civilian-Review-Board-Policies,2006,Y,Y,Y,Appointed 
,153,Ontario city,California,176326,CA,N,,,,,,,,
