geoName	geoCode	term	interest
Oklahoma City OK	650	police brutality	48
Omaha NE	652	police brutality	50
Orlando-Daytona Beach-Melbourne FL	534	police brutality	50
Ottumwa IA-Kirksville MO	631	police brutality	35
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632	police brutality	49
Palm Springs CA	804	police brutality	47
Panama City FL	656	police brutality	35
Parkersburg WV	597	police brutality	41
Peoria-Bloomington IL	675	police brutality	62
Philadelphia PA	504	police brutality	71
Phoenix AZ	753	police brutality	57
Pittsburgh PA	508	police brutality	59
Portland OR	820	police brutality	54
Portland-Auburn ME	500	police brutality	58
Presque Isle ME	552	police brutality	46
Providence RI-New Bedford MA	521	police brutality	73
Quincy IL-Hannibal MO-Keokuk IA	717	police brutality	57
Raleigh-Durham (Fayetteville) NC	560	police brutality	70
Rapid City SD	764	police brutality	40
Reno NV	811	police brutality	57
Richmond-Petersburg VA	556	police brutality	67
Roanoke-Lynchburg VA	573	police brutality	37
Rochester MN-Mason City IA-Austin MN	611	police brutality	45
Rochester NY	538	police brutality	70
Rockford IL	610	police brutality	57
Sacramento-Stockton-Modesto CA	862	police brutality	70
Salisbury MD	576	police brutality	66
Salt Lake City UT	770	police brutality	46
San Angelo TX	661	police brutality	56
San Antonio TX	641	police brutality	46
San Diego CA	825	police brutality	67
San Francisco-Oakland-San Jose CA	807	police brutality	77
Santa Barbara-Santa Maria-San Luis Obispo CA	855	police brutality	69
Savannah GA	507	police brutality	62
Seattle-Tacoma WA	819	police brutality	64
Sherman TX-Ada OK	657	police brutality	38
Shreveport LA	612	police brutality	48
Sioux City IA	624	police brutality	53
Sioux Falls(Mitchell) SD	725	police brutality	41
South Bend-Elkhart IN	588	police brutality	51
Spokane WA	881	police brutality	55
Springfield MO	619	police brutality	46
Springfield-Holyoke MA	543	police brutality	89
St. Joseph MO	638	police brutality	45
St. Louis MO	609	police brutality	54
Syracuse NY	555	police brutality	72
Tallahassee FL-Thomasville GA	530	police brutality	91
Tampa-St. Petersburg (Sarasota) FL	539	police brutality	46
Terre Haute IN	581	police brutality	56
Toledo OH	547	police brutality	61
Topeka KS	605	police brutality	65
Traverse City-Cadillac MI	540	police brutality	52
Tri-Cities TN-VA	531	police brutality	41
Tucson (Sierra Vista) AZ	789	police brutality	59
Tulsa OK	671	police brutality	44
Twin Falls ID	760	police brutality	44
Tyler-Longview(Lufkin & Nacogdoches) TX	709	police brutality	46
Utica NY	526	police brutality	74
Victoria TX	626	police brutality	42
Waco-Temple-Bryan TX	625	police brutality	52
Washington DC (Hagerstown MD)	511	police brutality	77
Watertown NY	549	police brutality	73
Wausau-Rhinelander WI	705	police brutality	42
West Palm Beach-Ft. Pierce FL	548	police brutality	45
Wheeling WV-Steubenville OH	554	police brutality	44
Wichita Falls TX & Lawton OK	627	police brutality	45
Wichita-Hutchinson KS	678	police brutality	47
Wilkes Barre-Scranton PA	577	police brutality	51
Wilmington NC	550	police brutality	54
Yakima-Pasco-Richland-Kennewick WA	810	police brutality	59
Youngstown OH	536	police brutality	56
Yuma AZ-El Centro CA	771	police brutality	64
Zanesville OH	596	police brutality	37
Abilene-Sweetwater TX	662	police killings	29
Albany GA	525	police killings	47
Albany-Schenectady-Troy NY	532	police killings	56
Albuquerque-Santa Fe NM	790	police killings	59
Alexandria LA	644	police killings	100
Alpena MI	583	police killings	0
Amarillo TX	634	police killings	44
Anchorage AK	743	police killings	56
Atlanta GA	524	police killings	54
Augusta GA	520	police killings	55
Austin TX	635	police killings	57
Bakersfield CA	800	police killings	53
Baltimore MD	512	police killings	75
Bangor ME	537	police killings	49
Baton Rouge LA	716	police killings	65
Beaumont-Port Arthur TX	692	police killings	60
Bend OR	821	police killings	62
Billings, MT	756	police killings	40
Biloxi-Gulfport MS	746	police killings	37
Binghamton NY	502	police killings	55
Birmingham AL	630	police killings	57
Bluefield-Beckley-Oak Hill WV	559	police killings	0
Boise ID	757	police killings	58
Boston MA-Manchester NH	506	police killings	57
Bowling Green KY	736	police killings	0
Buffalo NY	514	police killings	57
Burlington VT-Plattsburgh NY	523	police killings	60
Butte-Bozeman MT	754	police killings	50
Casper-Riverton WY	767	police killings	0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	637	police killings	58
Champaign & Springfield-Decatur IL	648	police killings	62
Charleston SC	519	police killings	54
Charleston-Huntington WV	564	police killings	45
Charlotte NC	517	police killings	62
Charlottesville VA	584	police killings	66
Chattanooga TN	575	police killings	53
Cheyenne WY-Scottsbluff NE	759	police killings	0
Chicago IL	602	police killings	53
Chico-Redding CA	868	police killings	88
Cincinnati OH	515	police killings	57
Clarksburg-Weston WV	598	police killings	0
Cleveland-Akron (Canton) OH	510	police killings	56
Colorado Springs-Pueblo CO	752	police killings	73
Columbia SC	546	police killings	60
Columbia-Jefferson City MO	604	police killings	57
Columbus GA	522	police killings	81
Columbus OH	535	police killings	64
Columbus-Tupelo-West Point MS	673	police killings	47
Corpus Christi TX	600	police killings	32
Dallas-Ft. Worth TX	623	police killings	48
Davenport IA-Rock Island-Moline IL	682	police killings	39
Dayton OH	542	police killings	56
Denver CO	751	police killings	56
Des Moines-Ames IA	679	police killings	56
Detroit MI	505	police killings	60
Dothan AL	606	police killings	35
Duluth MN-Superior WI	676	police killings	72
El Paso TX	765	police killings	45
Elmira NY	565	police killings	45
Erie PA	516	police killings	54
Eugene OR	801	police killings	88
Eureka CA	802	police killings	73
Evansville IN	649	police killings	49
Fairbanks AK	745	police killings	83
Fargo-Valley City ND	724	police killings	47
Flint-Saginaw-Bay City MI	513	police killings	64
Florence-Myrtle Beach SC	570	police killings	45
Fresno-Visalia CA	866	police killings	47
Ft. Myers-Naples FL	571	police killings	42
Ft. Smith-Fayetteville-Springdale-Rogers AR	670	police killings	47
Ft. Wayne IN	509	police killings	58
Gainesville FL	592	police killings	45
Glendive MT	798	police killings	0
Grand Junction-Montrose CO	773	police killings	71
Grand Rapids-Kalamazoo-Battle Creek MI	563	police killings	55
Great Falls MT	755	police killings	0
Green Bay-Appleton WI	658	police killings	42
Greensboro-High Point-Winston Salem NC	518	police killings	59
Greenville-New Bern-Washington NC	545	police killings	59
Greenville-Spartanburg SC-Asheville NC-Anderson SC	567	police killings	55
Greenwood-Greenville MS	647	police killings	0
Harlingen-Weslaco-Brownsville-McAllen TX	636	police killings	17
Harrisburg-Lancaster-Lebanon-York PA	566	police killings	56
Harrisonburg VA	569	police killings	51
Hartford & New Haven CT	533	police killings	65
Hattiesburg-Laurel MS	710	police killings	56
Helena MT	766	police killings	0
Honolulu HI	744	police killings	41
Houston TX	618	police killings	46
Huntsville-Decatur (Florence) AL	691	police killings	50
Idaho Falls-Pocatello ID	758	police killings	51
Indianapolis IN	527	police killings	63
Jackson MS	718	police killings	51
Jackson TN	639	police killings	0
Jacksonville FL	561	police killings	44
Johnstown-Altoona PA	574	police killings	48
Jonesboro AR	734	police killings	0
Joplin MO-Pittsburg KS	603	police killings	55
Juneau AK	747	police killings	0
Kansas City MO	616	police killings	59
Knoxville TN	557	police killings	51
La Crosse-Eau Claire WI	702	police killings	55
Lafayette IN	582	police killings	62
Lafayette LA	642	police killings	52
Lake Charles LA	643	police killings	0
Lansing MI	551	police killings	62
Laredo TX	749	police killings	0
Las Vegas NV	839	police killings	55
Lexington KY	541	police killings	51
Lima OH	558	police killings	88
Lincoln & Hastings-Kearney NE	722	police killings	55
Little Rock-Pine Bluff AR	693	police killings	54
Los Angeles CA	803	police killings	54
Louisville KY	529	police killings	58
Lubbock TX	651	police killings	52
Macon GA	503	police killings	58
Madison WI	669	police killings	68
Mankato MN	737	police killings	80
Marquette MI	553	police killings	59
Medford-Klamath Falls OR	813	police killings	67
Memphis TN	640	police killings	67
Meridian MS	711	police killings	0
Miami-Ft. Lauderdale FL	528	police killings	38
Milwaukee WI	617	police killings	57
Minneapolis-St. Paul MN	613	police killings	72
Minot-Bismarck-Dickinson(Williston) ND	687	police killings	43
Missoula MT	762	police killings	55
Mobile AL-Pensacola (Ft. Walton Beach) FL	686	police killings	53
Monroe LA-El Dorado AR	628	police killings	34
Monterey-Salinas CA	828	police killings	73
Montgomery (Selma) AL	698	police killings	58
Nashville TN	659	police killings	56
New Orleans LA	622	police killings	50
New York NY	501	police killings	48
Norfolk-Portsmouth-Newport News VA	544	police killings	65
North Platte NE	740	police killings	0
Odessa-Midland TX	633	police killings	39
Oklahoma City OK	650	police killings	62
Omaha NE	652	police killings	45
Orlando-Daytona Beach-Melbourne FL	534	police killings	44
Ottumwa IA-Kirksville MO	631	police killings	0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	632	police killings	48
