part	model	model_type	variable	coef	se	p_value	significance	n_obs	n_y1	sample	outcome	treatment_var
C	Joint: Weak COA	PanelOLS (joint)	post_weak	-0.014356	0.005353	0.0073	***	6549	413	All Cities	black_share_violent_arrests	post_weak
C	Joint: Strong COA	PanelOLS (joint)	post_strong	-0.028076	0.021242	0.1863		6531	470	All Cities	black_share_drug_arrests	post_strong
C	Joint: Weak COA	PanelOLS (joint)	post_weak	-0.028362	0.012819	0.027	**	6531	410	All Cities	black_share_drug_arrests	post_weak
C	Investigate Power	PanelOLS	post_investigate	3557.214068	700.024632	0.0	***	6529	441	All Cities	violent_crime_pc	post_investigate
C	Investigate Power	PanelOLS	post_investigate	-0.049034	0.017458	0.005	***	6526	441	All Cities	violent_clearance_rate	post_investigate
C	Investigate Power	PanelOLS	post_investigate	-0.023447	0.008766	0.0075	***	6529	442	All Cities	property_clearance_rate	post_investigate
C	Investigate Power	PanelOLS	post_investigate	4661.981617	1024.43438	0.0	***	5372	413	All Cities	drug_arrests_pc	post_investigate
C	Investigate Power	PanelOLS	post_investigate	20092.7411	3694.634342	0.0	***	5372	413	All Cities	discretionary_arrests_pc	post_investigate
C	Investigate Power	PanelOLS	post_investigate	3.222122	0.661945	0.0	***	6741	466	All Cities	police_killings_pc	post_investigate
C	Investigate Power	PanelOLS	post_investigate	7233.325891	1295.59461	0.0	***	5372	413	All Cities	violent_arrests_pc	post_investigate
C	Investigate Power	PanelOLS	post_investigate	-0.021157	0.005411	0.0001	***	5371	413	All Cities	black_share_violent_arrests	post_investigate
C	Investigate Power	PanelOLS	post_investigate	-0.032653	0.022956	0.155		5356	413	All Cities	black_share_drug_arrests	post_investigate
C	Discipline Power	PanelOLS	post_discipline	4219.728864	918.941335	0.0	***	5992	144	All Cities	violent_crime_pc	post_discipline
C	Discipline Power	PanelOLS	post_discipline	-0.017912	0.015299	0.2417		5989	144	All Cities	violent_clearance_rate	post_discipline
C	Discipline Power	PanelOLS	post_discipline	-0.01844	0.010519	0.0797	*	5991	144	All Cities	property_clearance_rate	post_discipline
C	Discipline Power	PanelOLS	post_discipline	5910.767298	1301.850606	0.0	***	4868	116	All Cities	drug_arrests_pc	post_discipline
C	Discipline Power	PanelOLS	post_discipline	25198.18725	5203.727833	0.0	***	4868	116	All Cities	discretionary_arrests_pc	post_discipline
C	Discipline Power	PanelOLS	post_discipline	2.998854	0.730559	0.0	***	6174	144	All Cities	police_killings_pc	post_discipline
C	Discipline Power	PanelOLS	post_discipline	8954.821799	1815.039939	0.0	***	4868	116	All Cities	violent_arrests_pc	post_discipline
C	Discipline Power	PanelOLS	post_discipline	-0.006216	0.011196	0.5788		4867	116	All Cities	black_share_violent_arrests	post_discipline
C	Discipline Power	PanelOLS	post_discipline	0.020959	0.00986	0.0336	**	4852	116	All Cities	black_share_drug_arrests	post_discipline
