cbsa_code	msa_name	year	n_protests	n_police_protests	total_size_est	police_size_est	any_arrests	any_property_damage	avg_protest_size
10900	Allentown-Bethlehem-Easton, PA-NJ	2018	66	7	12955.0	1091.0	0.0	000000000000000000000000000000000000000000000000000000000000000000	196.28787878787878
10900	Allentown-Bethlehem-Easton, PA-NJ	2019	35	2	1024.0	200.0	0.0	00000000000000000000000000000000000	29.257142857142856
10900	Allentown-Bethlehem-Easton, PA-NJ	2020	92	47	13847.0	10739.0	0.0	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	150.5108695652174
10900	Allentown-Bethlehem-Easton, PA-NJ	2021	97	20	1355.0	90.0	0.0	0.0	13.969072164948454
10900	Allentown-Bethlehem-Easton, PA-NJ	2022	74	3	2412.0	1000.0	0.0	0.0	32.5945945945946
10900	Allentown-Bethlehem-Easton, PA-NJ	2023	53	2	1497.0	150.0	0.0	0.0	28.245283018867923
10900	Allentown-Bethlehem-Easton, PA-NJ	2024	94	54	20302.0	0.0	0.0	0.0	215.9787234042553
11020	Altoona, PA	2017	3	0	43.0	0.0	0.0	000	14.333333333333334
11020	Altoona, PA	2018	4	1	208.0	0.0	0.0	0000	52.0
11020	Altoona, PA	2019	5	1	486.0	150.0	0.0	00000	97.2
11020	Altoona, PA	2020	12	8	2100.0	968.0	0.0	000000000000	175.0
11020	Altoona, PA	2021	4	0	27.0	0.0	0.0	0.0	6.75
11020	Altoona, PA	2022	9	2	197.0	10.0	0.0	0.0	21.88888888888889
11020	Altoona, PA	2023	2	1	24.0	24.0	0.0	0.0	12.0
11020	Altoona, PA	2024	1	0	0.0	0.0	0.0	0.0	0.0
11100	Amarillo, TX	2017	6	0	965.0	0.0	0.0	000000	160.83333333333334
11100	Amarillo, TX	2018	11	1	892.0	36.0	0.0	00000000000	81.0909090909091
11100	Amarillo, TX	2019	4	1	39.0	29.0	0.0	0000	9.75
11100	Amarillo, TX	2020	11	6	1240.0	1000.0	0.0	00000000000	112.72727272727273
11100	Amarillo, TX	2021	10	0	330.0	0.0	0.0	0.0	33.0
11100	Amarillo, TX	2022	10	1	1176.0	0.0	0.0	0.0	117.6
11100	Amarillo, TX	2023	15	0	592.0	0.0	0.0	0.0	39.46666666666667
11100	Amarillo, TX	2024	6	1	4018.0	0.0	0.0	0.0	669.6666666666666
11180	Ames, IA	2017	3	0	401.0	0.0	0.0	000	133.66666666666666
11180	Ames, IA	2018	20	0	408.0	0.0	0.0	00000000000000000000	20.4
11180	Ames, IA	2019	9	2	431.0	135.0	0.0	000000000	47.888888888888886
11180	Ames, IA	2020	9	9	1355.0	1355.0	0.0	000000000	150.55555555555554
11180	Ames, IA	2021	2	0	30.0	0.0	0.0	0.0	15.0
11180	Ames, IA	2022	8	0	390.0	0.0	0.0	0.0	48.75
11180	Ames, IA	2023	7	0	472.0	0.0	0.0	0.0	67.42857142857143
11180	Ames, IA	2024	6	0	182.0	0.0	0.0	0.0	30.333333333333332
11260	Anchorage, AK	2017	35	1	8060.0	25.0	0.0	00000000000000000000000000000000000	230.28571428571428
11260	Anchorage, AK	2018	39	1	3844.0	274.0	0.0	000000000000000000000000000000000000000	98.56410256410257
11260	Anchorage, AK	2019	23	0	1707.0	0.0	0.0	00000000000000000000000	74.21739130434783
11260	Anchorage, AK	2020	36	16	4515.0	3484.0	0.0	000000000000000000000000000000000000	125.41666666666667
11260	Anchorage, AK	2021	24	0	392.0	0.0	1.0	0.0	16.333333333333332
11260	Anchorage, AK	2022	28	9	7214.0	5289.0	0.0	0.0	257.64285714285717
11260	Anchorage, AK	2023	71	2	1434.0	69.0	0.0	0.0	20.197183098591548
11260	Anchorage, AK	2024	13	4	382.0	134.0	0.0	0.0	29.384615384615383
11460	Ann Arbor, MI	2017	94	5	26134.0	341.0	3.0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	278.02127659574467
11460	Ann Arbor, MI	2018	106	2	18747.0	2000.0	1.0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	176.85849056603774
11460	Ann Arbor, MI	2019	85	4	7224.0	186.0	1.0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000	84.98823529411764
11460	Ann Arbor, MI	2020	112	22	7305.0	5599.0	0.0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	65.22321428571429
11460	Ann Arbor, MI	2021	184	13	2995.0	426.0	0.0	0.0	16.277173913043477
11460	Ann Arbor, MI	2022	193	4	11491.0	2200.0	6.0	0.0	59.538860103626945
11460	Ann Arbor, MI	2023	109	6	8826.0	198.0	3.0	1.0	80.97247706422019
11460	Ann Arbor, MI	2024	180	13	28458.0	1652.0	5.0	2.0	158.1
11500	Anniston-Oxford, AL	2017	1	0	20.0	0.0	0.0	0	20.0
11500	Anniston-Oxford, AL	2018	3	0	275.0	0.0	0.0	000	91.66666666666667
11500	Anniston-Oxford, AL	2019	2	0	66.0	0.0	0.0	00	33.0
11500	Anniston-Oxford, AL	2020	3	2	24.0	24.0	0.0	000	8.0
11500	Anniston-Oxford, AL	2021	5	0	6.0	0.0	0.0	0.0	1.2
11500	Anniston-Oxford, AL	2022	2	1	63.0	18.0	0.0	0.0	31.5
11500	Anniston-Oxford, AL	2023	4	2	36.0	30.0	0.0	0.0	9.0
11500	Anniston-Oxford, AL	2024	4	0	0.0	0.0	0.0	0.0	0.0
11540	Appleton, WI	2017	5	1	736.0	24.0	0.0	00000	147.2
11540	Appleton, WI	2018	12	2	785.0	270.0	0.0	000000000000	65.41666666666667
11540	Appleton, WI	2019	8	1	518.0	24.0	0.0	00000000	64.75
11540	Appleton, WI	2020	11	4	1532.0	1350.0	1.0	00000000000	139.27272727272728
11540	Appleton, WI	2021	18	4	640.0	167.0	0.0	0.0	35.55555555555556
11540	Appleton, WI	2022	24	1	941.0	3.0	0.0	0.0	39.208333333333336
11540	Appleton, WI	2023	10	1	513.0	0.0	0.0	0.0	51.3
11540	Appleton, WI	2024	15	0	2567.0	0.0	0.0	0.0	171.13333333333333
11700	Asheville, NC	2017	28	0	14969.0	0.0	0.0	0000000000000000000000000000	534.6071428571429
11700	Asheville, NC	2018	50	6	12348.0	1320.0	0.0	00000000000000000000000000000000000000000000000000	246.96
11700	Asheville, NC	2019	28	2	4109.0	2000.0	0.0	0000000000000000000000000000	146.75
11700	Asheville, NC	2020	81	36	5181.0	4658.0	10.0	000000000000000000101001000000000000100000000010100000000000000000000000000000000	63.96296296296296
11700	Asheville, NC	2021	60	11	1171.0	107.0	2.0	0.0	19.516666666666666
11700	Asheville, NC	2022	67	8	3073.0	768.0	1.0	1.0	45.865671641791046
11700	Asheville, NC	2023	70	7	2388.0	383.0	0.0	2.0	34.114285714285714
11700	Asheville, NC	2024	67	12	7743.0	455.0	1.0	2.0	115.56716417910448
