rt	n_obs	mean_police_protests	mean_all_protests	mean_msa_police_protests	median_police_protests
-4	24	1.7916666666666667	15.5	27.458333333333332	0.5
-3	33	2.9393939393939394	21.90909090909091	30.727272727272727	1.0
-2	34	7.529411764705882	28.764705882352942	41.911764705882355	2.0
-1	34	16.58823529411765	37.55882352941177	80.82352941176471	4.0
0	31	10.387096774193548	40.58064516129032	115.16129032258064	4.0
1	14	9.0	52.5	32.142857142857146	2.5
2	13	8.615384615384615	49.61538461538461	72.6923076923077	7.0
3	11	39.72727272727273	93.18181818181819	70.81818181818181	4.0
4	11	12.181818181818182	49.90909090909091	154.8181818181818	2.0
